generation,mean_error,min_error,mean_non_struct_ef,min_non_struct_ef,mean_non_sem_ef,min_non_sem_ef
487,12.105,3.8,0.809128,0.461538,0.820691,0.6
488,12.85,3.9,0.813354,0.333333,0.818329,0.333333
489,13.368,2.9,0.817701,0.333333,0.822239,0.333333
490,12.873,4.1,0.803818,0.5,0.816081,0.5
491,12.293,3.9,0.809376,0.5,0.824589,0.5
492,12.254,3.5,0.812415,0.444444,0.822474,0.444444
493,12.346,4.5,0.81397,0.4,0.827224,0.5
494,11.719,3.3,0.82513,0.4,0.834455,0.5
495,12.22,5.3,0.825304,0.5,0.829432,0.6
496,10.952,3.2,0.834477,0.6,0.836675,0.6
497,11.343,3.7,0.820364,0.375,0.825408,0.375
498,11.223,3.9,0.834058,0.571429,0.838382,0.571429
499,11.339,2.8,0.826789,0.571429,0.833263,0.571429
500,11.697,5.1,0.829583,0.6,0.831677,0.6
501,11.499,5.9,0.829376,0.6,0.834333,0.6
502,11.769,4.3,0.840628,0.6,0.845799,0.6
503,11.308,3.6,0.839467,0.538462,0.845477,0.6
504,11.089,3.9,0.843535,0.5,0.85074,0.6
505,11.801,1,0.83611,0.4,0.845004,0.5
506,11.336,3,0.827953,0.4,0.829953,0.6
507,12.333,3.5,0.833374,0.4,0.834283,0.4
508,12.329,2.6,0.829749,0.5,0.830749,0.6
509,11.142,2.9,0.850855,0.555556,0.852605,0.555556
510,11.38,4.5,0.860676,0.6,0.861926,0.6
511,11.449,3.9,0.848595,0.375,0.851095,0.444444
512,10.72,3.5,0.833943,0.333333,0.842352,0.583333
513,10.749,3.5,0.826612,0.375,0.83277,0.4
514,11.686,3.6,0.826132,0.375,0.833382,0.6
515,12.318,2.9,0.836595,0.615385,0.841822,0.615385
516,11.694,3.5,0.846674,0.583333,0.849355,0.666667
517,11.501,2.6,0.843634,0.714286,0.846449,0.714286
518,12.319,3.4,0.840938,0.5,0.844864,0.5
519,11.931,4.5,0.854855,0.555556,0.855331,0.555556
520,12.275,3.5,0.855042,0.666667,0.855782,0.666667
521,11.471,3.5,0.858175,0.5,0.861127,0.666667
522,11.648,3.5,0.8599,0.333333,0.862679,0.333333
523,12.218,3.4,0.850967,0.333333,0.857388,0.333333
524,12.32,5.4,0.834791,0.333333,0.840971,0.333333
525,12.212,4.5,0.855748,0.333333,0.85858,0.333333
526,12.008,4.7,0.855886,0.5,0.861365,0.636364
527,11.022,4.5,0.849345,0.666667,0.854485,0.714286
528,11.871,3.7,0.836926,0.666667,0.841057,0.666667
529,11.478,2.5,0.846438,0.666667,0.851878,0.733333
530,12.12,4.5,0.846851,0.666667,0.852946,0.714286
531,11.345,3.4,0.845653,0.666667,0.849688,0.705882
532,11.749,5.4,0.851304,0.5,0.853304,0.5
533,11.385,4.5,0.843774,0.5,0.848696,0.5
534,11.67,4.5,0.838065,0.5,0.842097,0.5
535,11.83,3.8,0.837892,0.5,0.839273,0.5
536,10.983,4.9,0.844544,0.5,0.846433,0.5
537,10.809,4.5,0.852789,0.5,0.855488,0.666667
538,9.982,4.6,0.859458,0.705882,0.859458,0.705882
539,11.877,4.4,0.842507,0.545455,0.845818,0.636364
540,11.769,3.5,0.841112,0.454545,0.846082,0.545455
541,12.026,2.5,0.842845,0.545455,0.847808,0.6
542,11.058,5.5,0.849762,0.6,0.853498,0.777778
543,11.176,2.5,0.846755,0.6,0.847728,0.6
544,11.838,3.5,0.837704,0.5,0.840717,0.555556
545,11.864,5.1,0.841461,0.5,0.846369,0.555556
546,12.623,5.2,0.848838,0.555556,0.85137,0.6
547,12.359,2.5,0.841711,0.555556,0.847819,0.666667
548,10.203,4.4,0.841408,0.6,0.843575,0.6
549,11.222,3.5,0.83901,0.6,0.84201,0.6
550,13.061,4.2,0.821198,0.6,0.826616,0.6
551,12.034,4.5,0.829831,0.666667,0.836095,0.666667
552,12.269,5.2,0.815924,0.6,0.821341,0.642857
553,11.439,3.5,0.832869,0.636364,0.837285,0.636364
554,10.632,3.2,0.822652,0.533333,0.832089,0.666667
555,11.291,2.8,0.818328,0.6,0.825489,0.6
556,11.09,5.2,0.817155,0.583333,0.825794,0.666667
557,10.673,4.2,0.817987,0.416667,0.825738,0.416667
558,11.781,4.8,0.826429,0.416667,0.833629,0.416667
559,11.564,4.9,0.842754,0.727273,0.849049,0.75
560,10.589,4.9,0.845153,0.714286,0.847858,0.714286
561,11.317,4.5,0.852365,0.625,0.854558,0.625
562,11.367,3.5,0.850979,0.625,0.853479,0.625
563,12.163,5.2,0.840103,0.454545,0.846938,0.666667
564,12.935,5.2,0.836859,0.578947,0.841742,0.666667
565,10.96,4.8,0.839075,0.545455,0.842017,0.545455
566,12.302,5.2,0.822619,0.545455,0.831948,0.545455
567,11.785,4.2,0.805623,0.5,0.812699,0.5
568,12.087,4.2,0.789496,0.5,0.796759,0.5
569,10.705,3.8,0.79359,0.5,0.797384,0.5
570,11.316,4.2,0.789418,0.5,0.795452,0.5
571,11.22,4.2,0.781528,0.533333,0.789335,0.666667
572,10.825,3.2,0.781507,0.6,0.791743,0.666667
573,11.473,4.7,0.787137,0.6,0.798418,0.6
574,11.338,3.5,0.787888,0.466667,0.800161,0.533333
575,11.179,5.2,0.78057,0.466667,0.793347,0.533333
576,10.972,4.1,0.78006,0.466667,0.793639,0.533333
577,10.265,4.2,0.779665,0.4,0.789956,0.4
