generation,mean_error,min_error,mean_non_struct_ef,min_non_struct_ef,mean_non_sem_ef,min_non_sem_ef
0,16.63,3.8,0.68875,0.125,0.7275,0.25
1,16.71,7.8,0.676864,0.125,0.725273,0.375
2,16.98,7.8,0.665429,0.125,0.723414,0.375
3,15.645,5.8,0.667664,0.125,0.715434,0.375
4,14.89,1.8,0.705106,0.125,0.729416,0.25
5,14.106,5.8,0.713609,0.25,0.736322,0.428571
6,13.404,4.7,0.71956,0.375,0.744976,0.375
7,12.359,3.7,0.728124,0.428571,0.745386,0.428571
8,11.675,2.7,0.720877,0.333333,0.730239,0.333333
9,11.411,3.7,0.73534,0,0.741701,0
10,10.86,3.7,0.739812,0.2,0.749784,0.4
11,11.107,4.7,0.743005,0.333333,0.744719,0.333333
12,11.445,4.8,0.744092,0.333333,0.751972,0.333333
13,11.472,2.7,0.724084,0.333333,0.733512,0.333333
14,10.886,4.2,0.739425,0.2,0.742925,0.2
15,10.975,3.7,0.730438,0.4,0.730438,0.4
16,10.156,4.4,0.715962,0.2,0.718121,0.2
17,10.391,4.4,0.728343,0.5,0.736843,0.5
18,10.504,2.8,0.732352,0.25,0.734463,0.25
19,10.613,3.8,0.736681,0.428571,0.74315,0.5
20,10.33,4.2,0.761906,0.5,0.764584,0.625
21,10.593,4.7,0.749441,0.5,0.751941,0.5
22,10.813,4.2,0.749985,0.5,0.754092,0.5
23,11.494,4.2,0.728446,0.428571,0.732553,0.428571
24,10.809,1.2,0.738689,0.5,0.744047,0.5
25,10.843,3.5,0.75899,0.428571,0.765955,0.6
26,10.663,4.5,0.747404,0.6,0.747404,0.6
27,10.735,4.7,0.737016,0.333333,0.738266,0.333333
28,10.867,5.8,0.737806,0.333333,0.740917,0.333333
29,11.178,5.3,0.747395,0,0.749593,0
30,10.857,4.1,0.761009,0.333333,0.761779,0.333333
31,11.148,4.3,0.778129,0.571429,0.781631,0.571429
32,10.549,3.8,0.770928,0.333333,0.775145,0.333333
33,11.042,4.3,0.770904,0.3,0.773451,0.333333
34,11.568,3.9,0.778326,0.333333,0.781348,0.333333
35,11.118,4.4,0.77016,0.333333,0.771271,0.333333
36,11.615,4.2,0.770127,0.428571,0.771555,0.428571
37,10.947,4.9,0.745874,0.4,0.750269,0.4
38,11.526,3.4,0.747263,0.333333,0.754964,0.333333
39,10.887,4.7,0.744634,0.333333,0.752587,0.333333
40,11.034,4,0.761531,0.428571,0.768289,0.571429
41,10.543,4.4,0.758676,0.555556,0.766101,0.555556
42,11.386,5.6,0.773408,0.555556,0.778525,0.555556
43,11.015,3.4,0.754528,0.272727,0.759709,0.333333
44,11.052,4.8,0.74594,0,0.752339,0
45,10.947,4.6,0.755238,0.333333,0.763534,0.333333
46,11.434,3.4,0.754915,0.444444,0.7666,0.444444
47,10.578,4.2,0.761983,0.6,0.773827,0.6
48,11.797,4.8,0.763709,0.571429,0.769459,0.571429
49,11.346,5.7,0.768707,0.5,0.773207,0.5
50,10.924,4.2,0.783147,0.625,0.784966,0.625
51,10.801,5,0.781028,0.571429,0.785096,0.571429
52,11.395,4.4,0.789379,0.6,0.791217,0.6
53,11.266,4,0.793961,0.5,0.795925,0.625
54,11.307,5.2,0.779771,0.333333,0.784072,0.333333
55,11.318,4.8,0.779763,0.333333,0.791336,0.333333
56,11.479,5.2,0.793167,0.5,0.801685,0.5
57,11.226,4.1,0.798456,0.5,0.801267,0.5
58,11.604,5,0.774944,0.333333,0.785595,0.5
59,11.241,4.4,0.769238,0.5,0.776402,0.5
60,11.414,4.9,0.764536,0.5,0.771853,0.5
61,11.44,4.8,0.757278,0.4,0.769661,0.5
62,11.178,3.1,0.757168,0.25,0.770991,0.5
63,10.659,4.6,0.783078,0.5,0.786764,0.5
64,11.825,4.6,0.778388,0.5,0.782014,0.5
65,11.606,2.8,0.765121,0.375,0.769158,0.375
66,11.271,4.5,0.757012,0.25,0.760656,0.25
67,11.004,4.6,0.762544,0.333333,0.767127,0.333333
68,11.318,3.7,0.76811,0.5,0.771124,0.5
69,11.687,5.1,0.755088,0.4,0.758067,0.4
70,10.63,2.7,0.764594,0.4,0.767161,0.4
71,10.958,5.7,0.763282,0.4,0.766298,0.4
72,11.295,2.7,0.765054,0.4,0.771877,0.4
73,10.571,3.6,0.788982,0.6,0.789339,0.6
74,11.862,4.1,0.781661,0.5,0.784623,0.5
75,10.754,5.4,0.768048,0.5,0.771705,0.5
76,11.312,3.9,0.772814,0.5,0.773185,0.5
77,11.076,4.5,0.745923,0.375,0.75128,0.5
78,11.293,2.4,0.73972,0.5,0.741685,0.5
79,11.274,3.4,0.735577,0.428571,0.737441,0.428571
80,12.567,4.7,0.725881,0,0.73112,0
81,11.874,4.3,0.724625,0,0.733066,0
82,11.448,4.7,0.73065,0,0.736761,0
83,11.799,4.8,0.709495,0.428571,0.720067,0.428571
84,10.648,4.7,0.700436,0.333333,0.710079,0.333333
85,9.781,3.5,0.713836,0.2,0.722836,0.4
86,11.025,2.7,0.714685,0.2,0.721542,0.5
87,11.016,3.5,0.711536,0.4,0.713203,0.4
88,10.272,4.3,0.69656,0.4,0.699877,0.4
89,10.854,2.7,0.704111,0.333333,0.710254,0.333333
90,10.339,4.5,0.718309,0.333333,0.719023,0.333333
91,10.096,4.4,0.710451,0.333333,0.710451,0.333333
92,10.414,4.5,0.728956,0.428571,0.734134,0.5
93,11.52,3.5,0.722722,0.333333,0.7319,0.333333
94,10.845,5.1,0.727086,0,0.735276,0
95,11.114,2.2,0.705933,0,0.715695,0
96,12.213,5.7,0.718871,0,0.734717,0
97,11.287,4.6,0.728951,0.333333,0.736011,0.333333
98,10.837,5.5,0.731311,0.333333,0.735518,0.333333
99,11.102,4.5,0.723081,0.5,0.733034,0.6
100,10.631,4.7,0.744965,0.5,0.747541,0.6
101,11.405,1.9,0.743907,0.5,0.747392,0.5
102,11.129,3.7,0.744422,0.428571,0.747279,0.5
103,10.857,3.7,0.74886,0.4,0.751693,0.6
104,10.72,2.9,0.759922,0.375,0.761172,0.375
105,10.881,4.5,0.743635,0.285714,0.748107,0.285714
106,10.577,4.7,0.738482,0.4,0.738482,0.4
107,10.165,3.9,0.748856,0.285714,0.753142,0.428571
108,11.546,5.2,0.750831,0,0.75428,0
109,10.425,3.8,0.746405,0,0.747516,0
110,10.567,3.8,0.736116,0,0.739545,0
111,11.133,4.9,0.760831,0,0.760831,0
112,11.205,4.9,0.769419,0,0.773245,0
113,10.796,3.8,0.763097,0.5,0.765458,0.5
114,11.479,5.8,0.758872,0.375,0.762282,0.375
115,11.029,3.9,0.774815,0.333333,0.775815,0.333333
116,10.7,4.9,0.776596,0.5,0.776596,0.5
117,10.912,4.8,0.766552,0.444444,0.767461,0.444444
118,10.176,4.2,0.766683,0.333333,0.768704,0.333333
119,11.489,4.7,0.745109,0.333333,0.754303,0.333333
120,10.983,4.4,0.753865,0.4,0.759337,0.5
121,10.719,4.6,0.760724,0.3,0.761633,0.3
122,11.177,4.7,0.758207,0.375,0.761719,0.5
123,10.709,4.2,0.77162,0.6,0.773564,0.6
124,10.167,2.5,0.73823,0.333333,0.73823,0.333333
125,10.507,4.7,0.73971,0.571429,0.7434,0.6
126,10.948,3.4,0.751875,0.6,0.752708,0.6
127,10.889,5.8,0.733788,0.333333,0.735931,0.333333
128,10.96,4.5,0.715978,0.166667,0.718121,0.166667
129,10.725,3.6,0.711133,0.333333,0.715102,0.333333
130,10.775,3.3,0.70113,0.333333,0.702558,0.333333
131,11.22,5.3,0.719077,0.333333,0.720327,0.333333
132,10.843,2.6,0.701628,0.333333,0.704965,0.333333
133,10.338,3.6,0.716126,0.333333,0.720887,0.333333
134,10.725,5.5,0.69804,0.333333,0.704231,0.333333
135,10.411,2.5,0.69781,0,0.702333,0
136,10.837,4.6,0.696168,0.4,0.700692,0.4
137,10.392,5.6,0.68961,0.333333,0.696991,0.333333
138,10.735,3.6,0.703371,0.333333,0.713133,0.333333
139,10.732,3.7,0.691897,0.5,0.697492,0.5
140,11.96,5.2,0.671587,0.333333,0.681111,0.333333
141,10.689,2.9,0.683635,0.333333,0.690468,0.333333
142,11.306,4.6,0.681301,0.2,0.689468,0.4
143,10.608,2.7,0.673412,0,0.680912,0
144,11.795,5.7,0.697037,0,0.703465,0
145,11.89,4.6,0.674686,0,0.681114,0
146,11.518,5.6,0.678277,0.4,0.685039,0.5
147,11.283,4.6,0.67756,0.333333,0.686727,0.333333
148,11.043,2.6,0.674661,0.333333,0.683423,0.333333
149,10.899,4.6,0.689514,0.5,0.691181,0.571429
150,10.601,4.6,0.676616,0.5,0.680782,0.5
151,11.191,3.5,0.67111,0.333333,0.679039,0.333333
152,11.388,3.8,0.6858,0.4,0.689228,0.4
153,11.325,1.5,0.688657,0.4,0.690323,0.4
154,10.699,2.6,0.672821,0.333333,0.676488,0.333333
155,10.656,3.5,0.677963,0.333333,0.677963,0.333333
156,10.664,4.6,0.664807,0.333333,0.664807,0.333333
157,12.64,3.6,0.677142,0.333333,0.682551,0.333333
158,12.522,6.3,0.703844,0.333333,0.708189,0.333333
159,11.607,3.6,0.668952,0.2,0.674619,0.333333
160,11.644,4.5,0.647175,0,0.65027,0
161,11.487,4.7,0.649269,0.25,0.650698,0.25
162,11.646,4.8,0.649769,0,0.656019,0.2
163,11.525,3.9,0.653201,0.25,0.655701,0.333333
164,11.123,4.5,0.648071,0,0.650071,0.2
165,11.81,4.5,0.664131,0.166667,0.670575,0.25
166,10.955,4.5,0.702687,0.333333,0.702687,0.333333
167,10.756,3.7,0.673348,0,0.680206,0.2
168,11.101,2.8,0.703619,0,0.707619,0.2
169,10.826,4.5,0.715524,0.5,0.718619,0.5
170,11.164,3.8,0.691742,0.2,0.700806,0.4
171,10.992,3.7,0.695103,0.285714,0.704738,0.428571
172,11.486,4.9,0.690975,0.333333,0.699626,0.4
173,11.196,2.7,0.683101,0.25,0.690351,0.375
174,11.392,3.6,0.680276,0.4,0.688816,0.428571
175,10.922,4,0.667345,0.333333,0.672662,0.4
176,11.291,4.5,0.703119,0.333333,0.708214,0.5
177,11.99,4.5,0.67304,0.285714,0.680135,0.4
178,11.649,2.5,0.684626,0.333333,0.689722,0.333333
179,10.722,4.6,0.691507,0.333333,0.693507,0.333333
180,11.25,4.5,0.707944,0.333333,0.709944,0.333333
181,10.553,3.9,0.689364,0.285714,0.692222,0.333333
182,10.794,4.5,0.687356,0.333333,0.689356,0.333333
183,11.891,4.5,0.68685,0.4,0.6941,0.4
184,11.08,3.5,0.687606,0.4,0.695106,0.5
185,11.227,3,0.679495,0,0.691423,0
186,11.618,4.5,0.669841,0.25,0.680091,0.333333
187,11.148,4.6,0.683491,0.25,0.691991,0.25
188,11.454,4.4,0.693803,0.333333,0.703755,0.333333
189,11.642,4.4,0.685993,0.333333,0.692422,0.333333
190,11.759,2.4,0.672079,0.25,0.672079,0.25
191,10.906,3.4,0.685102,0,0.685102,0
192,11.446,4.5,0.669774,0,0.674774,0
193,10.686,4.2,0.67108,0,0.67608,0
194,11.744,5.3,0.675469,0,0.678469,0
195,11.297,5.3,0.671746,0,0.678746,0
196,11.232,4.4,0.654224,0,0.655133,0
197,11.8,3.4,0.636281,0,0.647281,0
198,11.316,4.4,0.676905,0,0.684905,0
199,11.986,4.4,0.62578,0,0.628447,0
200,11.264,4.4,0.67784,0,0.67984,0
201,11.548,4.4,0.629718,0,0.640718,0
202,12.006,5.7,0.642626,0,0.646626,0
203,12.218,4.7,0.643508,0,0.656842,0.25
204,11.922,4.4,0.669023,0.333333,0.68369,0.333333
205,11.734,3.4,0.652566,0.25,0.669066,0.333333
206,11.529,4.4,0.639637,0.25,0.654066,0.333333
207,10.861,4.3,0.665999,0,0.683697,0
208,11.433,5.2,0.637533,0.2,0.659815,0.2
209,11.906,4.5,0.633869,0,0.656584,0
210,11.629,4.7,0.662157,0.25,0.675586,0.25
211,11.002,4.7,0.677089,0.333333,0.696927,0.333333
212,11.024,4.8,0.678005,0.333333,0.703938,0.333333
213,10.583,4.8,0.674724,0.333333,0.699645,0.333333
214,10.277,4.3,0.683208,0.3,0.705367,0.333333
215,11.471,5.4,0.684615,0,0.696282,0.333333
216,10.257,3.9,0.710055,0,0.716889,0
217,10.722,4,0.714729,0,0.719229,0.25
218,11.847,2.5,0.728111,0.25,0.735778,0.333333
219,11.372,3.8,0.756658,0.333333,0.761928,0.333333
220,10.525,5,0.745806,0.25,0.747806,0.25
221,11.174,5,0.752712,0.5,0.75453,0.5
222,11.34,4.9,0.757587,0.333333,0.757587,0.333333
223,11.305,4.4,0.75651,0.5,0.75901,0.5
224,10.869,3.9,0.747795,0.333333,0.754656,0.333333
225,11.946,5.5,0.735364,0.166667,0.738975,0.166667
226,10.902,5,0.726906,0.166667,0.726906,0.166667
227,10.942,5.1,0.735196,0.166667,0.741234,0.166667
228,10.907,4,0.741572,0.166667,0.745106,0.166667
229,10.608,2.8,0.738745,0.166667,0.741472,0.166667
230,10.296,4.4,0.766803,0.333333,0.770803,0.333333
231,10.618,3.9,0.761682,0.333333,0.765682,0.333333
232,10.832,3.7,0.763063,0.333333,0.763063,0.333333
233,10.917,3.8,0.766552,0,0.767321,0
234,10.775,4.7,0.758214,0,0.758214,0
235,10.669,4.7,0.741898,0,0.743565,0
236,10.866,5.2,0.769084,0,0.769709,0
237,10.85,5.1,0.787238,0.333333,0.790711,0.333333
238,10.255,4.2,0.784521,0.333333,0.784521,0.333333
239,10.806,3.3,0.761475,0.333333,0.763836,0.333333
240,11.32,4.9,0.779674,0,0.784008,0.333333
241,12.211,5.4,0.778006,0.5,0.784527,0.5
242,11.627,4.8,0.788814,0.5,0.79807,0.5
243,11.662,5.4,0.784316,0.333333,0.788571,0.333333
244,11.077,5.4,0.778991,0.454545,0.786377,0.5
245,10.469,2.6,0.797541,0.5,0.800398,0.5
246,10.955,4.8,0.81633,0.5,0.816955,0.5
247,10.506,2.8,0.812249,0.5,0.812874,0.5
248,11.309,5.6,0.798559,0.5,0.800722,0.5
249,10.561,3.8,0.788228,0.5,0.793695,0.5
250,11.745,2.9,0.791484,0.25,0.799369,0.5
251,11.614,4.8,0.7693,0.25,0.778575,0.375
252,12.134,3.8,0.782907,0.5,0.797463,0.6
253,11.233,3.4,0.80243,0.555556,0.810165,0.6
254,11.334,4.5,0.799121,0.5,0.808047,0.5
255,10.471,4.1,0.797684,0.454545,0.808872,0.454545
256,10.787,4.8,0.796686,0.583333,0.807914,0.6
257,11.3,4.3,0.780781,0.5,0.793973,0.5
258,11.408,4.5,0.75946,0.4,0.772516,0.6
259,10.491,3.8,0.76355,0.5,0.772511,0.5
260,11.11,3.6,0.761271,0.5,0.769993,0.5
261,11.495,4.1,0.774385,0.272727,0.788003,0.454545
262,12.138,4,0.783434,0.5,0.792981,0.5
263,11.712,4.8,0.768215,0.461538,0.785454,0.5
264,11.72,4.6,0.758363,0.333333,0.770554,0.333333
265,11.023,5.8,0.758888,0.5,0.771746,0.5
266,10.241,4.1,0.763275,0.5,0.767671,0.5
267,11.008,1.8,0.754588,0.5,0.758874,0.5
268,11.203,3.6,0.753703,0.375,0.759425,0.375
269,11.351,3.9,0.738814,0.5,0.749112,0.5
270,10.793,2.8,0.750254,0.5,0.753794,0.5
271,11.277,4.7,0.740093,0.375,0.751847,0.5
272,11.698,3.8,0.733214,0.3,0.747801,0.4
273,11.073,3.8,0.73315,0.428571,0.741245,0.428571
274,11.228,4.6,0.743304,0.5,0.749567,0.5
275,10.877,3.4,0.737658,0.4,0.744829,0.4
276,11.273,3.9,0.725769,0.285714,0.734369,0.4
277,11.371,4.7,0.721368,0.333333,0.729929,0.333333
278,10.839,4.8,0.727981,0.333333,0.737993,0.333333
279,11.146,4.5,0.723352,0.4,0.73267,0.4
280,10.574,3.5,0.730111,0.5,0.73972,0.5
281,10.411,4.9,0.712354,0.4,0.730808,0.4
282,10.908,3.9,0.735497,0.5,0.750398,0.5
283,10.96,3.5,0.718741,0.25,0.734829,0.5
284,10.424,5.1,0.721513,0.5,0.728172,0.5
285,10.546,4.5,0.727201,0.5,0.73036,0.5
286,10.7,4.9,0.718345,0.5,0.721504,0.5
287,11.551,1.8,0.725083,0.5,0.731333,0.6
288,12.034,2.9,0.711105,0.333333,0.717788,0.4
289,10.578,3.8,0.702868,0.4,0.711833,0.4
290,11.336,4,0.717704,0.4,0.722382,0.4
291,12.18,4.5,0.712801,0.4,0.717639,0.4
292,10.473,4.8,0.717207,0,0.717207,0
293,11.706,3.4,0.719452,0,0.726611,0
294,11.953,3.8,0.711105,0,0.725113,0
295,10.975,2.4,0.701995,0,0.704852,0
296,11.336,4.1,0.718126,0.428571,0.719555,0.5
297,10.738,4.7,0.721441,0.333333,0.728691,0.333333
298,10.849,4.7,0.724779,0.333333,0.726938,0.333333
299,11.489,3.7,0.707775,0.333333,0.707775,0.333333
300,11.579,3.7,0.707481,0.333333,0.713195,0.333333
301,11.11,3.7,0.715255,0.428571,0.726505,0.5
302,10.945,3.7,0.718353,0,0.72535,0
303,10.888,4.7,0.722491,0.333333,0.729098,0.333333
304,10.476,3.7,0.729047,0.333333,0.730475,0.333333
305,11.233,3.1,0.726868,0.285714,0.729725,0.428571
306,11.37,3.9,0.738962,0.333333,0.74078,0.333333
307,11.729,4.1,0.734281,0.333333,0.738376,0.333333
308,11.148,2.9,0.751688,0.333333,0.751688,0.333333
309,11.405,2.9,0.755168,0.333333,0.756596,0.333333
310,10.404,4.1,0.752458,0.333333,0.752458,0.333333
311,10.903,3.9,0.76776,0.6,0.770549,0.6
